timestamp,ticker,avg_volume_5y,recent_volume_30d,volume_ratio,volume_percentile_5y,volume_std_5y,estimated_dark_pool_pct,volume_anomaly
2025-07-28 04:46:35,NVDA,416697024.6019108,174777390.0,0.4194351763537851,0.3184713375796179,183645646.80120707,19.194351763537853,Low
2025-07-28 04:46:37,AMZN,61751733.20063695,41222880.0,0.6675582670054482,4.777070063694268,29132407.31338679,21.67558267005448,Low
2025-07-28 04:46:39,GOOGL,32215948.646496817,41303123.333333336,1.282070684509384,79.85668789808918,13752317.455638794,27.82070684509384,Normal
2025-07-28 04:46:41,MSFT,26293144.66560509,18638250.0,0.708863478942528,22.85031847133758,10321316.024509097,22.08863478942528,Normal
2025-07-28 04:53:16,NVDA,416697024.6019108,174777390.0,0.4194351763537851,0.3184713375796179,183645646.80120707,19.194351763537853,Low
2025-07-28 04:53:17,AMZN,61751733.20063695,41222880.0,0.6675582670054482,4.777070063694268,29132407.31338679,21.67558267005448,Low
2025-07-28 04:53:19,GOOGL,32215948.646496817,41303123.333333336,1.282070684509384,79.85668789808918,13752317.455638794,27.82070684509384,Normal
2025-07-28 04:53:20,MSFT,26293144.66560509,18638250.0,0.708863478942528,22.85031847133758,10321316.024509097,22.08863478942528,Normal
2025-07-28 05:00:46,NVDA,416697024.6019108,174777390.0,0.4194351763537851,0.3184713375796179,183645646.80120707,19.194351763537853,Low
2025-07-28 05:00:48,AMZN,61751733.20063695,41222880.0,0.6675582670054482,4.777070063694268,29132407.31338679,21.67558267005448,Low
2025-07-28 05:00:49,GOOGL,32215948.646496817,41303123.333333336,1.282070684509384,79.85668789808918,13752317.455638794,27.82070684509384,Normal
2025-07-28 05:00:51,MSFT,26293144.66560509,18638250.0,0.708863478942528,22.85031847133758,10321316.024509097,22.08863478942528,Normal
2025-08-04 22:42:13,NVDA,416053957.1314741,173866313.33333334,0.4178936658410177,1.593625498007968,184327916.10924736,19.178936658410176,Low
2025-08-04 22:42:15,AMZN,61571701.67330677,46400586.66666666,0.7536024733060569,79.7609561752988,29031339.21647815,22.536024733060568,Normal
2025-08-04 22:42:17,GOOGL,32192827.49003984,42114670.0,1.3082004062249544,59.76095617529881,13660275.230427166,28.082004062249545,Normal
2025-08-04 22:42:19,MSFT,26222994.581673305,20011320.0,0.7631210820592355,57.13147410358565,10204858.923819492,22.631210820592354,Normal
2025-08-05 03:38:56,NVDA,416053957.1314741,173866313.33333334,0.4178936658410177,1.593625498007968,184327916.10924736,19.178936658410176,Low
2025-08-05 03:38:58,AMZN,61571701.67330677,46400586.666666664,0.7536024733060569,79.7609561752988,29031339.21647815,22.536024733060568,Normal
2025-08-05 03:38:59,GOOGL,32192827.49003984,42114670.0,1.3082004062249544,59.76095617529881,13660275.230427166,28.082004062249545,Normal
2025-08-05 03:39:01,MSFT,26222994.581673305,20011320.0,0.7631210820592355,57.13147410358565,10204858.923819492,22.631210820592354,Normal
